Date	Julian Date	Trial	Camera	Arena	Meta_Date	Meta_Julian	Box	Tank	UID
6/2/2013	153	2	5	BL	5/28/2013	148	5A	5A	5A_2013_5_28
6/2/2013	153	2	6	BL	5/26/2013	146	11	11	11_2013_5_26
6/2/2013	153	2	7	BL	5/26/2013	146	8A-C	8A	8A-C_2013_5_26
6/2/2013	153	2	8	BL	5/26/2013	146	17A-C	17A	17A-C_2013_5_26
6/2/2013	153	2	9	BL	5/26/2013	146	3A-A	3A	3A-A_2013_5_26
6/3/2013	154	1	1	BL	5/30/2013	150	34-B	34	34-B_2013_5_30
6/3/2013	154	1	2	BL	5/30/2013	150	2-A	2	2-A_2013_5_30
6/3/2013	154	1	3	BL	5/30/2013	150	2-B	2	2-B_2013_5_30
6/3/2013	154	1	4	BL	5/30/2013	150	28	28	28_2013_5_30
6/3/2013	154	1	5	BL	5/30/2013	150	16-B	16	16-B_2013_5_30
6/3/2013	154	1	6	BL	5/30/2013	150	23	23	23_2013_5_30
6/3/2013	154	1	7	BL	5/30/2013	150	7-C	7	7-C_2013_5_30
6/3/2013	154	1	8	BL	5/30/2013	150	16-C	16	16-C_2013_5_30
6/3/2013	154	1	9	BL	5/30/2013	150	8-B	8	8-B_2013_5_30
6/3/2013	154	2	1	BL	5/30/2013	150	34-A	34	34-A_2013_5_30
6/3/2013	154	2	2	BL	5/30/2013	150	13-D	13	13-D_2013_5_30
6/3/2013	154	2	3	BL	5/30/2013	150	7-E	7	7-E_2013_5_30
6/3/2013	154	2	4	BL	5/30/2013	150	43-B	43	43-B_2013_5_30
6/3/2013	154	2	5	BL	6/1/2013	152	34-C	34	34-C_2013_6_1
6/3/2013	154	2	6	BL	6/1/2013	152	43-C	43	43-C_2013_6_1
6/3/2013	154	2	7	BL	6/1/2013	152	35-D	35	35-D_2013_6_1
6/3/2013	154	2	8	BL	6/1/2013	152	13-A	13	13-A_2013_6_1
6/3/2013	154	2	9	BL	6/1/2013	152	13-E	13	13-E_2013_6_1
6/7/2013	158	1	1	BL	6/5/2013	156	9-E	9	9-E_2013_6_5
6/7/2013	158	1	2	BL	6/5/2013	156	34-C	34	34-C_2013_6_5
6/7/2013	158	1	3	BL	6/5/2013	156	9-B	9	9-B_2013_6_5
6/7/2013	158	1	4	BL	6/5/2013	156	34-D	34	34-D_2013_6_5
6/7/2013	158	1	5	BL	6/5/2013	156	9-D	9	9-D_2013_6_5
6/7/2013	158	1	6	BL	6/5/2013	156	36-C	36	36-C_2013_6_5
6/7/2013	158	1	7	BL	6/5/2013	156	6-A	6	6-A_2013_6_5
6/7/2013	158	1	8	BL	6/5/2013	156	35	35	35_2013_6_5
6/7/2013	158	1	9	BL	6/5/2013	156	46	46	46_2013_6_5
